Title,Link,Job Type,Campany,Location
Job Opportunity for Saudi Nationals Only: Operations and Support Engineer,https://wuzzuf.net/jobs/p/g/m32BJyEVJgKN-Job-Opportunity-for-Saudi-Nationals-Only-Operations-and-Support-Engineer-Brixio-Riyadh-Saudi-Arabia,Full Time,Brixio -,"Riyadh, Saudi Arabia "
"Senior Automation Quality Engineer (Selenium, Appium, REST Assured)",https://wuzzuf.net/jobs/p/De4baAKbIEjS-Senior-Automation-Quality-Engineer-Selenium-Appium-REST-Assured-Money-Loop-Cairo-Egypt,Full TimeHybrid,Money Loop  -,"New Cairo, Cairo, Egypt "
Analyst - IT System,https://wuzzuf.net/jobs/p/g/v4OvugFsVGV6-Analyst---IT-System-Core42-Dubai-United-Arab-Emirates,Full Time,Core42 -,"Dubai, United Arab Emirates "
Software Tester,https://wuzzuf.net/jobs/p/ORO1lZcuETnh-Software-Tester-qTech-Dakahlia-Egypt,Full TimeOn-site,qTech.  -,"Mansoura, Dakahlia, Egypt "
Call Center Service Delivery Manager (Hybrid),https://wuzzuf.net/jobs/p/g/e9IPoCVNSDUM-Call-Center-Service-Delivery-Manager-Hybrid-Kalamcx-Cairo-Egypt,Full Time,Kalamcx -,"Cairo, Egypt "
Finance Analyst,https://wuzzuf.net/jobs/p/g/C0p6oqSVnIkm-Finance-Analyst-LikeCard-Cairo-Egypt,Full Time,LikeCard -,"Cairo, Egypt "
Assistant Professor - Chemistry,https://wuzzuf.net/jobs/p/g/oo3s1sgj6Qai-Assistant-Professor---Chemistry-University-of-Doha-for-Science-Technology-Doha-Qatar,Full Time,University of Doha for Science & Technology -,"Doha, Qatar "
Strategic Projects & TQM Sections Manager,https://wuzzuf.net/jobs/p/g/3iaI4rwRdv8q-Strategic-Projects-TQM-Sections-Manager-SGS---Saudi-Ground-Services-Riyadh-Saudi-Arabia,Full Time,SGS - Saudi Ground Services -,"Riyadh, Saudi Arabia "
Junior Analyst - Management - Logistics,https://wuzzuf.net/jobs/p/g/riGEA7wogd4d-Junior-Analyst---Management---Logistics-Skill-Farm-Cairo-Egypt,Full Time,Skill Farm -,"Cairo, Egypt "
Security Supervisor,https://wuzzuf.net/jobs/p/g/vRv1lh4zlVYZ-Security-Supervisor-Swissôtel-Al-Maqam-Makkah-Dubai-United-Arab-Emirates,Full Time,Swissôtel Al Maqam Makkah -,"Dubai, United Arab Emirates "
