Title,Link,Job Type,Campany,Location
BI developer,https://wuzzuf.net/jobs/p/g/wS5k9eg24sqG-BI-developer-LSA-Recruit-Dubai-United-Arab-Emirates,Full Time,LSA Recruit -,"Dubai, United Arab Emirates "
Data Transformation PM Specialist_VOIS,https://wuzzuf.net/jobs/p/g/Tm4PtdL54spI-Data-Transformation-PM-SpecialistVOIS-VOIS-Cairo-Egypt,Full Time,_VOIS -,"Cairo, Egypt "
Data Architect - AWS,https://wuzzuf.net/jobs/p/g/yjqKWaM78m4t-Data-Architect---AWS-Rackspace-Technology-Alexandria-Egypt,Full Time,Rackspace Technology -,"Alexandria, Egypt "
BI & Data Senior Manager,https://wuzzuf.net/jobs/p/g/vcPE3qSkqLAY-BI-Data-Senior-Manager-Magrabi-Retail-Cairo-Egypt,Full Time,Magrabi Retail -,"Cairo, Egypt "
Data Architect,https://wuzzuf.net/jobs/p/g/KGkcMtlcovLf-Data-Architect-HR-Ways---Hiring-Tech-Talent-Dubai-United-Arab-Emirates,Full Time,HR Ways - Hiring Tech Talent -,"Dubai, United Arab Emirates "
BI & Data Senior Manager,https://wuzzuf.net/jobs/p/g/s7gzZQ4ZSN0Q-BI-Data-Senior-Manager-MAGRABi-Retail-Group-Cairo-Egypt,Full Time,MAGRABi Retail Group -,"Cairo, Egypt "
HR Generalist (Archilight - 3Brothers Sister Company),https://wuzzuf.net/jobs/p/F9r8QeWU0DXT-HR-Generalist-Archilight---3Brothers-Sister-Company-3Brothers-Cairo-Egypt,Part TimeOn-site,3Brothers -,"New Cairo, Cairo, Egypt "
Business Development Manager,https://wuzzuf.net/jobs/p/3xnMR57fVBGM-Business-Development-Manager-Saint-Gobain-Cairo-Egypt,Full TimeOn-site,Saint-Gobain -,"New Cairo, Cairo, Egypt "
Soft Skill Trainer,https://wuzzuf.net/jobs/p/1ys5wOx6z4q0-Soft-Skill-Trainer-Monglish-Academy-Alexandria-Egypt,Full TimeOn-site,Monglish Academy -,"Alexandria, Egypt "
Sales Account Manager,https://wuzzuf.net/jobs/p/gopbRUnWDMsY-Sales-Account-Manager-Itechs-Group-Cairo-Egypt,Full TimeOn-site,Itechs Group -,"Cairo, Egypt "
